LineId,Time,Program,Content,EventId,EventTemplate,variables
489,10.30 18:07:36,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
490,10.30 18:07:36,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
491,10.30 18:07:40,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 715 bytes sent, 4417 bytes (4.31 KB) received, lifetime 00:10",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '4.31', '00:10', 'KB'], '4417', '715']"
492,10.30 18:08:06,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1368 bytes (1.33 KB) sent, 20811 bytes (20.3 KB) received, lifetime 01:00",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.33', '20.3', '01:00', 'KB', 'KB'], '1368', '20811']"
493,10.30 18:08:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
494,10.30 18:08:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1277 bytes (1.24 KB) sent, 15408 bytes (15.0 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.24', '15.0', '00:01', 'KB', 'KB'], '1277', '15408']"
495,10.30 18:08:08,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
496,10.30 18:08:14,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
497,10.30 18:08:15,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1312 bytes (1.28 KB) sent, 2783 bytes (2.71 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.28', '2.71', '00:01', 'KB', 'KB'], '1312', '2783']"
498,10.30 18:09:06,WeChat.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
499,10.30 18:10:27,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
500,10.30 18:10:27,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
501,10.30 18:10:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 705 bytes sent, 492 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:01'], '705', '492']"
502,10.30 18:10:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1398 bytes (1.36 KB) sent, 11654 bytes (11.3 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.36', '11.3', '00:01', 'KB', 'KB'], '1398', '11654']"
503,10.30 18:10:30,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
504,10.30 18:10:30,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
505,10.30 18:10:47,Dropbox.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2501 bytes (2.44 KB) sent, 4848 bytes (4.73 KB) received, lifetime 01:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '2.44', '4.73', '01:01', 'KB', 'KB'], '2501', '4848']"
506,10.30 18:11:01,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
507,10.30 18:11:26,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 326 bytes sent, 103039 bytes (100 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:01', 'KB'], '326', '103039']"
508,10.30 18:13:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 849 bytes sent, 9333 bytes (9.11 KB) received, lifetime 02:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '9.11', '02:01', 'KB'], '849', '9333']"
509,10.30 18:13:30,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 952 bytes sent, 13595 bytes (13.2 KB) received, lifetime 03:00",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '13.2', '03:00', 'KB'], '952', '13595']"
510,10.30 18:13:31,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 960 bytes sent, 8386 bytes (8.18 KB) received, lifetime 03:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '8.18', '03:01', 'KB'], '960', '8386']"
511,10.30 20:39:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
512,10.30 20:39:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:01'], '0', '0']"
513,10.30 20:39:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:01'], '0', '0']"
514,10.30 20:39:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
515,10.30 20:39:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
516,10.30 20:39:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
517,10.30 20:39:43,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
518,10.30 20:39:43,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
519,10.30 20:39:44,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:13",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:13'], '0', '0']"
520,10.30 20:39:44,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:03",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:03'], '0', '0']"
521,10.30 20:39:44,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
522,10.30 20:39:44,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
523,10.30 20:39:44,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
524,10.30 20:39:44,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
525,10.30 20:39:45,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 576 bytes sent, 649 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:01'], '576', '649']"
526,10.30 20:39:46,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
527,10.30 20:39:46,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2279 bytes (2.22 KB) sent, 279 bytes received, lifetime 00:02",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '2.22', '00:02', 'KB'], '279', '2279']"
528,10.30 20:39:47,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
529,10.30 20:39:47,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 3115 bytes (3.04 KB) sent, 1252 bytes (1.22 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '3.04', '1.22', '00:01', 'KB', 'KB'], '3115', '1252']"
530,10.30 20:39:47,YodaoDict.exe,"proxy.cse.cuhk.edu.hk:5070 close, 31257 bytes (30.5 KB) sent, 1846301 bytes (1.76 MB) received, lifetime 01:33",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '30.5', '1.76', '01:33', 'KB', 'MB'], '31257', '1846301']"
531,10.30 20:40:03,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
532,10.30 20:40:03,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
533,10.30 20:40:04,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
534,10.30 20:40:04,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '0', '0']"
535,10.30 20:40:04,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
536,10.30 20:40:04,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
537,10.30 20:40:04,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
538,10.30 20:40:05,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 468 bytes sent, 3515 bytes (3.43 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '3.43', '00:01', 'KB'], '468', '3515']"
539,10.30 20:40:05,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 780 bytes sent, 1401 bytes (1.36 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.36', 'KB'], '780', '1401']"
540,10.30 20:40:05,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
541,10.30 20:40:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
542,10.30 20:40:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 409 bytes sent, 52645 bytes (51.4 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '51.4', '00:01', 'KB'], '409', '52645']"
543,10.30 20:40:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
544,10.30 20:40:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1119 bytes (1.09 KB) sent, 417 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.09', 'KB'], '1119', '417']"
545,10.30 20:40:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 474 bytes sent, 1047 bytes (1.02 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.02', 'KB'], '474', '1047']"
546,10.30 20:40:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 675 bytes sent, 7178 bytes (7.00 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '7.00', 'KB'], '675', '7178']"
547,10.30 20:40:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 628 bytes sent, 466 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:01'], '628', '466']"
548,10.30 20:40:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 513 bytes sent, 22162 bytes (21.6 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '21.6', '00:01', 'KB'], '513', '22162']"
549,10.30 20:40:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
550,10.30 20:40:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 530 bytes sent, 546 bytes received, lifetime 00:02",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:02'], '530', '546']"
551,10.30 20:40:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
552,10.30 20:40:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2177 bytes (2.12 KB) sent, 279 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '2.12', '00:01', 'KB'], '279', '2177']"
553,10.30 20:40:14,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 534 bytes sent, 388 bytes received, lifetime 00:05",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:05'], '388', '534']"
554,10.30 20:40:14,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1069 bytes (1.04 KB) sent, 776 bytes received, lifetime 00:05",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.04', '00:05', 'KB'], '1069', '776']"
555,10.30 20:40:14,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 542 bytes sent, 388 bytes received, lifetime 00:05",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:05'], '388', '542']"
556,10.30 20:40:14,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
557,10.30 20:40:14,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
558,10.30 20:40:16,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1010 bytes sent, 5219 bytes (5.09 KB) received, lifetime 04:00",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '5.09', '04:00', 'KB'], '1010', '5219']"
559,10.30 20:40:24,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1127 bytes (1.10 KB) sent, 4317 bytes (4.21 KB) received, lifetime 00:20",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.10', '4.21', '00:20', 'KB', 'KB'], '1127', '4317']"
560,10.30 20:40:31,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:14",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:14'], '0', '0']"
561,10.30 20:41:49,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1477 bytes (1.44 KB) sent, 1431 bytes (1.39 KB) received, lifetime 02:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.44', '1.39', '02:01', 'KB', 'KB'], '1477', '1431']"
562,10.30 20:42:04,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2413 bytes (2.35 KB) sent, 324 bytes received, lifetime 02:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '2.35', '02:01', 'KB'], '324', '2413']"
563,10.30 20:42:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
564,10.30 20:42:17,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1400 bytes (1.36 KB) sent, 3900 bytes (3.80 KB) received, lifetime 02:00",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.36', '3.80', '02:00', 'KB', 'KB'], '1400', '3900']"
565,10.30 20:42:17,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2464 bytes (2.40 KB) sent, 1010 bytes received, lifetime 02:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '2.40', '02:01', 'KB'], '2464', '1010']"
566,10.30 20:42:31,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
567,10.30 20:42:33,YodaoDict.exe,oimagea5.ydstatic.com:80 error : A connection request was canceled before the completion.,E3,<*> error : A connection request was canceled before the completion.,[['oimagea5.ydstatic.com:80']]
568,10.30 20:42:33,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
569,10.30 20:42:34,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1299 bytes (1.26 KB) sent, 1029 bytes (1.00 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.26', '1.00', 'KB', 'KB'], '1299', '1029']"
570,10.30 20:42:34,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1007 bytes sent, 355 bytes received, lifetime 00:08",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:08'], '1007', '355']"
571,10.30 20:42:37,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
572,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1354 bytes (1.32 KB) sent, 902 bytes received, lifetime 00:15",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.32', '00:15', 'KB'], '1354', '902']"
573,10.30 20:42:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
574,10.30 20:42:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
575,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1481 bytes (1.44 KB) sent, 1804 bytes (1.76 KB) received, lifetime 00:32",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.44', '1.76', '00:32', 'KB', 'KB'], '1481', '1804']"
576,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 453 bytes sent, 352 bytes received, lifetime 00:02",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:02'], '453', '352']"
577,10.30 20:42:41,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 4186 bytes (4.08 KB) sent, 2888 bytes (2.82 KB) received, lifetime 00:06",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '4.08', '2.82', '00:06', 'KB', 'KB'], '4186', '2888']"
578,10.30 20:42:41,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
579,10.30 20:42:42,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1318 bytes (1.28 KB) sent, 427 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.28', '00:01', 'KB'], '1318', '427']"
580,10.30 20:42:42,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
